C23	06035A6R8CAT2A	2	$0.120
C47	08053C473JAT2A	2	$0.120
C26	08055A101KAT2A	2	$0.276
C28	08055A3R3CAT2A	2	$0.312
P4	105017-0001	2	$0.876
BT1	1769	2	$0.900
C24	251R14S7R5CV4T	2	$0.192
A1	7488910092	2	$4.440
SP2	AST-01708MR-R	2	$5.220
C17, C33	C0805C110J5GACTU	4	$0.288
C16	C0805C221K5GACTU	2	$0.120
C19	C1608C0G1H020C080AA	2	$0.120
L2	CI160808-33NJ	2	$0.120
L3, L4	CI160808-6N8J	4	$0.120
C48, C42, C43, C31	CL21A106KQCLRNC	8	$0.120
C27	CL21C1R2BBANNNC	2	$0.120
C25	CL21C5R6CBANNNC	2	$0.120
U14	FT232RL-REEL	2	$5.400
L5	HK160815NJ-T	2	$0.132
U18	LM386MX-1/NOPB	2	$1.020
L1	LQG18HN4N7S00D	2	$0.240
J2	M50-3500542	2	$1.416
U16	MCP73831T-2ACI/OT	2	$0.696
C44, C18	MF-CAP-0603-0.01uF	4	$0.050
C34, C35, C36, C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C20, C21, C22, C30, C32	MF-CAP-0805-0.1uF	40	$0.011
C13, C29	MF-CAP-0805-1uF	4	$0.060
C14, C15	MF-CAP-1206-10uF	4	$0.140
C45, C46	MF-CAP-4MM-10uF	4	$0.290
C49	MF-CAP-6.3MM-100uF	2	$0.410
D2, D4, D6, D8	MF-LED-0805-GREEN	8	$0.080
D1, D3, D5, D7	MF-LED-0805-RED	8	$0.080
U15	MF-REG-SOT235-3.3V-300mA	2	$0.600
R2	MF-RES-0805-100	2	$0.050
R21	MF-RES-0805-100K	2	$0.050
R23, R3, R6, R8	MF-RES-0805-10K	8	$0.050
R19, R22, R20, R13, R14, R15, R16	MF-RES-0805-1K	14	$0.010
R9, R10, R11, R12	MF-RES-0805-220	8	$0.050
R5	MF-RES-0805-2K	2	$0.050
SW1, SW4, SW5, SW6, SW7, SW8	MF-SW-TACT-4.2MM	12	$0.210
U13	MKW01Z128CHN	2	$4.824
Y1	NX3225SA-32MHZ-EXS00A-CS02368	2	$0.984
SW2	PCM12SMTR	2	$0.924
P2	SFH11-PBPC-D20-ST-BK	2	$2.772
SW3	TM1000Q	2	$1.848
U1, U2, U3, U4, U5, U6, U7, U8, U9, U10, U11, U12	WS2812B	24	$0.200
